link_id,tick,traffic_share,jammed_flag
Aegis-Boreas,0,0.03833,False
Aegis-Dawn,0,0.05373,False
Aegis-Elysium,0,0.06344,True
Boreas-Dawn,0,0.12564,False
Boreas-Elysium,0,0.00766,False
Boreas-Fenix,0,0.01344,False
Caelum-Dawn,0,0.03479,False
Caelum-Elysium,0,0.28692,True
Caelum-Fenix,0,0.02597,False
Dawn-Elysium,0,0.22455,False
Dawn-Fenix,0,0.02421,False
Elysium-Fenix,0,0.10134,False
Aegis-Boreas,1,0.07017,False
Aegis-Dawn,1,0.02802,False
Aegis-Elysium,1,0.17055,False
Boreas-Dawn,1,0.08096,False
Boreas-Elysium,1,0.16753,False
Boreas-Fenix,1,,False
Caelum-Dawn,1,0.06784,False
Caelum-Elysium,1,0.10978,False
Caelum-Fenix,1,0.025,False
Dawn-Elysium,1,0.03164,False
Dawn-Fenix,1,0.07074,False
Elysium-Fenix,1,0.09633,False
Aegis-Boreas,2,0.13438,True
Aegis-Dawn,2,0.05752,False
Aegis-Elysium,2,0.32428,False
Boreas-Dawn,2,0.03428,False
Boreas-Elysium,2,0.01735,False
Boreas-Fenix,2,0.02883,False
Caelum-Dawn,2,0.06987,False
Caelum-Elysium,2,,False
Caelum-Fenix,2,0.15241,False
Dawn-Elysium,2,0.04993,False
Dawn-Fenix,2,0.01354,False
Elysium-Fenix,2,0.03337,False
Aegis-Boreas,3,0.02301,False
Aegis-Dawn,3,0.1014,False
Aegis-Elysium,3,0.15665,True
Boreas-Dawn,3,0.04004,False
Boreas-Elysium,3,0.05391,False
Boreas-Fenix,3,0.01678,False
Caelum-Dawn,3,0.11515,False
Caelum-Elysium,3,0.11708,False
Caelum-Fenix,3,0.05685,False
Dawn-Elysium,3,0.02786,False
Dawn-Fenix,3,0.17542,False
Elysium-Fenix,3,0.11585,False
Aegis-Boreas,4,0.06197,False
Aegis-Dawn,4,0.04166,False
Aegis-Elysium,4,0.06238,False
Boreas-Dawn,4,0.0585,False
Boreas-Elysium,4,0.33413,False
Boreas-Fenix,4,0.00519,False
Caelum-Dawn,4,0.05627,False
Caelum-Elysium,4,0.06861,False
Caelum-Fenix,4,0.07387,False
Dawn-Elysium,4,0.10481,False
Dawn-Fenix,4,0.07773,False
Elysium-Fenix,4,0.0549,False
Aegis-Boreas,5,0.032,False
Aegis-Dawn,5,0.00368,False
Aegis-Elysium,5,0.02045,False
Boreas-Dawn,5,,False
Boreas-Elysium,5,0.12379,False
Boreas-Fenix,5,0.01597,False
Caelum-Dawn,5,0.15136,False
Caelum-Elysium,5,0.20296,False
Caelum-Fenix,5,0.14663,False
Dawn-Elysium,5,0.05012,False
Dawn-Fenix,5,0.00297,False
Elysium-Fenix,5,,False
Aegis-Boreas,6,0.03769,False
Aegis-Dawn,6,0.20549,False
Aegis-Elysium,6,0.26684,False
