link_id,tick,self_reported_latency_ms,measured_latency_ms
Aegis-Boreas,0,69804.794,70246.059
Aegis-Boreas,1,438998.039,461750.906
Aegis-Boreas,2,69595.273,71962.13
Aegis-Boreas,3,70575.341,74284.268
Aegis-Boreas,4,78208.292,81932.917
Aegis-Boreas,5,86796.243,84519.216
Aegis-Boreas,6,57955.59,60544.382
Aegis-Boreas,7,224902.355,228170.068
Aegis-Boreas,8,77043.709,75981.319
Aegis-Boreas,9,60802.464,63366.526
Aegis-Boreas,10,63926.762,66208.404
Aegis-Boreas,11,137385.017,132931.501
Aegis-Boreas,12,96747.892,93310.275
Aegis-Boreas,13,115819.034,119723.728
Aegis-Boreas,14,64199.101,64510.137
Aegis-Boreas,15,64497.608,62872.253
Aegis-Boreas,16,146017.975,143668.746
Aegis-Boreas,17,59458.238,61733.353
Aegis-Boreas,18,47586.532,135005.159
Aegis-Boreas,19,209244.036,218070.508
Aegis-Boreas,20,122405.764,117313.0
Aegis-Boreas,21,66083.669,65188.829
Aegis-Boreas,22,105379.408,100503.366
Aegis-Boreas,23,60107.295,58097.128
Aegis-Boreas,24,72206.097,71394.912
Aegis-Boreas,25,161371.672,157669.414
Aegis-Boreas,26,88562.487,92736.079
Aegis-Boreas,27,115518.504,118154.078
Aegis-Boreas,28,87038.503,86633.439
Aegis-Boreas,29,67847.0,64998.745
Aegis-Boreas,30,136608.248,138883.977
Aegis-Boreas,31,105112.818,109018.38
Aegis-Boreas,32,68018.282,66125.174
Aegis-Boreas,33,157384.555,161699.136
Aegis-Boreas,34,64339.427,64211.722
Aegis-Boreas,35,289894.653,289064.807
Aegis-Boreas,36,160112.955,168360.883
Aegis-Boreas,37,88413.506,251660.944
Aegis-Boreas,38,60506.179,60298.927
Aegis-Boreas,39,78929.011,78154.379
Aegis-Boreas,40,133598.773,134684.186
Aegis-Boreas,41,61288.982,63794.998
Aegis-Boreas,42,63310.885,64904.808
Aegis-Boreas,43,77266.637,74020.05
