link_id,tick,load_units,load_ratio,status,observed_latency_ms
Aegis-Boreas,0,90.0,0.4328,ok,118635.583
Aegis-Boreas,1,136.4,0.6557,ok,283818.179
Aegis-Boreas,2,40.5,0.1945,ok,
Aegis-Boreas,3,55.8,0.2681,ok,76938.079
Aegis-Boreas,4,14.4,0.0692,ok,61680.208
Aegis-Boreas,5,151.7,0.7293,ok,413268.959
Aegis-Boreas,6,66.3,0.3188,ok,85909.898
Aegis-Boreas,7,63.3,0.3042,ok,85729.036
Aegis-Boreas,8,28.0,0.1348,ok,63452.47
Aegis-Boreas,9,58.5,0.2812,ok,77013.262
Aegis-Boreas,10,21.3,0.1025,ok,61502.014
Aegis-Boreas,11,77.4,0.3721,ok,101266.459
Aegis-Boreas,12,98.7,0.4745,ok,135546.089
Aegis-Boreas,13,109.9,0.5281,ok,167255.386
Aegis-Boreas,14,71.1,0.3419,ok,90668.79
Aegis-Boreas,15,69.7,0.3349,ok,90665.549
Aegis-Boreas,16,33.7,0.1622,ok,66067.24
Aegis-Boreas,17,93.9,0.4513,ok,125526.493
Aegis-Boreas,18,16.8,0.0809,ok,61881.51
Aegis-Boreas,19,,0.5608,ok,188640.6
Aegis-Boreas,20,36.1,0.1733,ok,64833.58
Aegis-Boreas,21,66.4,0.3192,ok,87170.787
Aegis-Boreas,22,30.3,0.1455,ok,65073.824
Aegis-Boreas,23,58.9,0.2832,ok,79816.536
Aegis-Boreas,24,122.6,0.5893,ok,210527.457
Aegis-Boreas,25,20.3,0.0977,ok,61414.903
Aegis-Boreas,26,38.5,0.1851,ok,
Aegis-Boreas,27,66.8,0.3213,ok,85552.048
Aegis-Boreas,28,75.0,0.3608,ok,97115.423
Aegis-Boreas,29,75.7,0.364,ok,96354.792
Aegis-Boreas,30,27.5,0.132,ok,63400.437
Aegis-Boreas,31,13.5,0.0647,ok,62334.719
Aegis-Boreas,32,63.5,0.3051,ok,83545.381
Aegis-Boreas,33,42.7,0.2053,ok,27694.564
Aegis-Boreas,34,53.3,0.2562,ok,77477.22
Aegis-Boreas,35,20.6,0.099,ok,61137.874
Aegis-Boreas,36,47.8,0.2299,ok,72909.697
Aegis-Boreas,37,54.1,0.2602,ok,77258.602
Aegis-Boreas,38,86.5,0.4159,ok,113955.582
Aegis-Boreas,39,57.9,0.2783,ok,78244.893
Aegis-Boreas,40,81.9,0.3937,ok,106364.124
Aegis-Boreas,41,35.3,0.1696,ok,65144.068
Aegis-Boreas,42,111.9,0.538,ok,172123.993
Aegis-Boreas,43,53.2,0.2556,ok,76472.565
Aegis-Boreas,44,66.7,0.3206,ok,85698.806
Aegis-Boreas,45,31.2,0.1498,ok,65352.646
Aegis-Boreas,46,59.7,0.287,ok,80443.662
Aegis-Boreas,47,112.6,0.5412,ok,175808.637
Aegis-Boreas,48,34.0,0.1632,ok,63372.718
Aegis-Boreas,49,116.4,0.5595,ok,187930.033
Aegis-Boreas,50,12.8,0.0617,ok,61337.986
Aegis-Boreas,51,69.2,0.3328,ok,89539.186
Aegis-Boreas,52,19.8,0.0954,ok,63239.966
Aegis-Boreas,53,62.5,0.3003,ok,83910.682
Aegis-Boreas,54,,0.3642,ok,36341.602
Aegis-Boreas,55,94.3,0.4535,ok,129572.618
Aegis-Boreas,56,111.4,0.5355,ok,171909.629
Aegis-Boreas,57,19.8,0.0954,ok,62705.28
Aegis-Boreas,58,60.2,0.2894,ok,78750.489
Aegis-Boreas,59,5.7,0.0275,ok,59468.878
Aegis-Boreas,60,15.5,0.0743,ok,59424.245
Aegis-Boreas,61,83.1,0.3995,ok,106653.281
Aegis-Boreas,62,29.7,0.143,ok,63098.157
Aegis-Boreas,63,122.7,0.5899,ok,211459.656
Aegis-Boreas,64,68.7,0.3304,ok,
Aegis-Boreas,65,18.2,0.0873,ok,62177.405
Aegis-Boreas,66,14.0,0.0674,ok,63295.876
Aegis-Boreas,67,46.7,0.2247,ok,69672.557
Aegis-Boreas,68,83.4,0.4011,ok,108217.113
Aegis-Boreas,69,87.2,0.4194,ok,112777.127
Aegis-Boreas,70,38.5,0.1853,ok,67770.858
Aegis-Boreas,71,26.5,0.1274,ok,62477.154
Aegis-Boreas,72,3.7,0.0179,ok,62909.843
Aegis-Boreas,73,36.0,0.1732,ok,
Aegis-Boreas,74,103.1,0.4958,ok,148720.462
Aegis-Boreas,75,56.4,0.2712,ok,77689.501
Aegis-Boreas,76,22.1,0.1063,ok,62746.837
Aegis-Boreas,77,41.5,0.1993,ok,68640.147
Aegis-Boreas,78,63.5,0.3051,ok,81464.333
Aegis-Boreas,79,41.1,0.1978,ok,67520.669
Aegis-Boreas,80,43.5,0.2092,ok,69218.915
Aegis-Boreas,81,74.7,0.3591,ok,96553.158
Aegis-Boreas,82,81.9,0.3937,ok,
Aegis-Boreas,83,6.3,0.0304,ok,59199.132
Aegis-Boreas,84,56.9,0.2737,ok,78477.124
Aegis-Boreas,85,44.2,0.2124,ok,71491.471
Aegis-Boreas,86,63.0,0.3027,ok,83274.956
Aegis-Boreas,87,151.6,0.729,ok,411170.431
Aegis-Boreas,88,86.0,0.4135,ok,110325.485
Aegis-Boreas,89,52.6,0.2531,ok,73952.727
Aegis-Boreas,90,119.5,0.5745,ok,197817.71
Aegis-Boreas,91,112.1,0.5392,ok,172541.647
Aegis-Boreas,92,131.6,0.6325,ok,256867.416
Aegis-Boreas,93,72.1,0.3465,ok,95063.259
Aegis-Boreas,94,36.5,0.1757,ok,64984.26
Aegis-Boreas,95,51.8,0.2493,ok,76087.915
Aegis-Boreas,96,131.3,0.6311,ok,254222.534
Aegis-Boreas,97,,0.4556,ok,126523.911
Aegis-Boreas,98,75.2,0.3617,ok,96256.067
Aegis-Boreas,99,114.1,0.5487,ok,178599.807
Aegis-Boreas,100,37.3,0.1793,ok,66134.542
Aegis-Boreas,101,19.1,0.0919,ok,61162.862
Aegis-Boreas,102,58.1,0.2791,ok,80444.566
Aegis-Boreas,103,,0.0859,ok,61127.898
Aegis-Boreas,104,53.4,0.2567,ok,75982.859
Aegis-Boreas,105,66.6,0.3204,ok,86000.915
Aegis-Boreas,106,57.1,0.2746,ok,78195.794
Aegis-Boreas,107,137.1,0.659,ok,289888.937
Aegis-Boreas,108,78.2,0.3759,ok,100991.385
Aegis-Boreas,109,127.2,0.6118,ok,232534.457
Aegis-Boreas,110,92.5,0.4446,ok,123491.669
Aegis-Boreas,111,34.6,0.1664,ok,66110.95
Aegis-Boreas,112,,0.2365,ok,72462.317
Aegis-Boreas,113,43.6,0.2098,ok,71300.629
Aegis-Boreas,114,110.2,0.5299,ok,167503.852
Aegis-Boreas,115,80.6,0.3874,ok,103892.874
Aegis-Boreas,116,49.7,0.2389,ok,71109.234
Aegis-Boreas,117,36.3,0.1745,ok,67568.072
Aegis-Boreas,118,34.9,0.1678,ok,64267.872
Aegis-Boreas,119,59.3,0.2849,ok,175919.435
Aegis-Boreas,120,41.9,0.2014,ok,68766.679
Aegis-Boreas,121,87.0,0.418,ok,114799.076
Aegis-Boreas,122,48.0,0.2307,ok,70664.203
Aegis-Boreas,123,97.9,0.4705,ok,137122.912
Aegis-Boreas,124,20.7,0.0994,ok,62146.873
Aegis-Boreas,125,40.5,0.1945,ok,68073.988
Aegis-Boreas,126,33.8,0.1624,ok,166056.057
Aegis-Boreas,127,60.2,0.2895,ok,80935.019
Aegis-Boreas,128,93.4,0.4491,ok,123483.547
Aegis-Boreas,129,42.8,0.2057,ok,71158.078
Aegis-Boreas,130,94.0,0.4521,ok,127962.102
Aegis-Boreas,131,75.2,0.3617,ok,96508.722
Aegis-Boreas,132,17.3,0.0831,ok,60262.885
Aegis-Boreas,133,15.1,0.0724,ok,61515.496
Aegis-Boreas,134,61.1,0.2939,ok,82267.838
Aegis-Boreas,135,53.1,0.2552,ok,75571.405
Aegis-Boreas,136,79.8,0.3834,ok,101292.603
Aegis-Boreas,137,71.1,0.3416,ok,91727.708
Aegis-Boreas,138,140.5,0.6756,ok,314335.083
Aegis-Boreas,139,42.5,0.2042,ok,67060.116
Aegis-Boreas,140,5.9,0.0281,ok,59620.255
Aegis-Boreas,141,65.2,0.3135,ok,85964.853
Aegis-Boreas,142,122.2,0.5876,ok,209612.61
Aegis-Boreas,143,52.3,0.2516,ok,75383.525
Aegis-Boreas,144,56.5,0.2718,ok,77338.236
Aegis-Boreas,145,57.6,0.2767,ok,79808.126
Aegis-Boreas,146,18.0,0.0863,ok,26739.114
Aegis-Boreas,147,90.7,0.4362,ok,121376.863
Aegis-Boreas,148,45.3,0.2178,ok,70975.366
Aegis-Boreas,149,44.7,0.2149,ok,71238.103
Aegis-Boreas,150,48.3,0.2322,ok,71379.241
Aegis-Boreas,151,5.5,0.0266,ok,
Aegis-Boreas,152,67.8,0.3258,ok,87505.836
Aegis-Boreas,153,26.8,0.1289,ok,64033.287
Aegis-Boreas,154,46.8,0.2252,ok,71876.809
Aegis-Boreas,155,58.4,0.2806,ok,81123.274
Aegis-Boreas,156,71.0,0.3414,ok,
Aegis-Boreas,157,28.4,0.1363,ok,64102.848
Aegis-Boreas,158,55.4,0.2662,ok,75285.366
Aegis-Boreas,159,29.8,0.1433,ok,62757.403
Aegis-Boreas,160,11.2,0.0538,ok,61423.73
Aegis-Boreas,161,50.0,0.2404,ok,73704.391
Aegis-Boreas,162,24.5,0.1178,ok,63212.956
Aegis-Boreas,163,85.6,0.4115,ok,109913.862
Aegis-Boreas,164,126.2,0.6068,ok,230252.909
Aegis-Boreas,165,113.9,0.5476,ok,179306.723
Aegis-Boreas,166,120.6,0.5799,ok,204066.652
Aegis-Boreas,167,101.1,0.486,ok,144302.637
Aegis-Boreas,168,48.3,0.2321,ok,72426.478
Aegis-Boreas,169,122.2,0.5876,ok,209328.5
Aegis-Boreas,170,47.4,0.2278,ok,71932.43
Aegis-Boreas,171,26.5,0.1272,ok,64524.893
Aegis-Boreas,172,21.2,0.1019,ok,62543.338
Aegis-Boreas,173,89.2,0.4288,ok,120124.331
Aegis-Boreas,174,20.3,0.0977,ok,62119.243
Aegis-Boreas,175,36.1,0.1737,ok,66379.414
Aegis-Boreas,176,77.2,0.3713,ok,100494.707
Aegis-Boreas,177,33.0,0.1585,ok,64051.498
Aegis-Boreas,178,33.8,0.1624,ok,67971.079
Aegis-Boreas,179,57.8,0.2779,ok,78903.933
Aegis-Boreas,180,96.2,0.4623,ok,129307.596
Aegis-Boreas,181,68.2,0.328,ok,87841.809
Aegis-Boreas,182,86.3,0.4147,ok,114832.988
Aegis-Boreas,183,35.4,0.1702,ok,68647.128
Aegis-Boreas,184,30.2,0.1454,ok,66821.224
Aegis-Boreas,185,39.4,0.1896,ok,69107.789
Aegis-Boreas,186,87.0,0.4183,ok,113416.455
Aegis-Boreas,187,25.6,0.123,ok,62609.711
Aegis-Boreas,188,81.2,0.3905,ok,102788.447
Aegis-Boreas,189,136.5,0.6561,ok,285900.44
Aegis-Boreas,190,78.3,0.3764,ok,99826.241
Aegis-Boreas,191,93.6,0.4501,ok,127498.876
Aegis-Boreas,192,61.5,0.2955,ok,82249.408
Aegis-Boreas,193,139.3,0.6698,ok,304857.285
Aegis-Boreas,194,91.3,0.4391,ok,121846.061
Aegis-Boreas,195,55.7,0.268,ok,77598.982
Aegis-Boreas,196,11.0,0.0529,ok,60195.11
Aegis-Boreas,197,82.6,0.3971,ok,107299.769
Aegis-Boreas,198,62.9,0.3024,ok,83045.037
Aegis-Boreas,199,49.5,0.2379,ok,74114.388
Aegis-Boreas,200,51.4,0.2472,ok,74000.132
Aegis-Boreas,201,51.2,0.2463,ok,73405.211
Aegis-Boreas,202,108.1,0.5196,ok,158749.179
Aegis-Boreas,203,32.8,0.1576,ok,65914.841
Aegis-Boreas,204,56.9,0.2737,ok,232962.16
Aegis-Boreas,205,79.4,0.3819,ok,102138.988
Aegis-Boreas,206,35.3,0.1699,ok,64782.883
Aegis-Boreas,207,15.6,0.0752,ok,61063.165
Aegis-Boreas,208,104.2,0.501,ok,150959.55
Aegis-Boreas,209,71.6,0.3444,ok,94059.943
Aegis-Boreas,210,17.8,0.0854,ok,63181.054
Aegis-Boreas,211,78.5,0.3775,ok,101770.817
Aegis-Boreas,212,60.1,0.2889,ok,79473.864
Aegis-Boreas,213,121.5,0.5843,ok,206965.332
Aegis-Boreas,214,63.1,0.3036,ok,
Aegis-Boreas,215,83.7,0.4025,ok,110596.182
Aegis-Boreas,216,54.0,0.2596,ok,77797.338
Aegis-Boreas,217,61.3,0.2947,ok,81644.456
Aegis-Boreas,218,37.3,0.1793,ok,66855.783
Aegis-Boreas,219,32.0,0.1538,ok,31146.737
Aegis-Boreas,220,18.2,0.0874,ok,61478.054
Aegis-Boreas,221,47.5,0.2285,ok,72207.227
Aegis-Boreas,222,154.6,0.7432,ok,447183.956
Aegis-Boreas,223,79.0,0.38,ok,103032.212
Aegis-Boreas,224,27.7,0.1334,ok,63365.435
Aegis-Boreas,225,91.5,0.44,ok,68235.43
Aegis-Boreas,226,13.8,0.0666,ok,59569.512
Aegis-Boreas,227,38.3,0.184,ok,66987.088
Aegis-Boreas,228,45.1,0.217,ok,69872.305
Aegis-Boreas,229,29.7,0.1429,ok,64935.843
Aegis-Boreas,230,73.9,0.3553,ok,93251.576
Aegis-Boreas,231,63.0,0.3031,ok,84316.707
Aegis-Boreas,232,120.1,0.5776,ok,203618.466
Aegis-Boreas,233,96.9,0.466,ok,132391.839
Aegis-Boreas,234,32.8,0.1579,ok,64518.643
Aegis-Boreas,235,71.3,0.3428,ok,92680.848
Aegis-Boreas,236,44.3,0.2129,ok,70359.942
Aegis-Boreas,237,102.5,0.4929,ok,148112.01
Aegis-Boreas,238,25.7,0.1234,ok,61001.934
Aegis-Boreas,239,3.6,0.0173,ok,58698.618
Aegis-Boreas,240,32.9,0.1582,ok,65847.579
Aegis-Boreas,241,89.0,0.4277,ok,118722.919
Aegis-Boreas,242,34.4,0.1655,ok,66099.369
Aegis-Boreas,243,63.5,0.3051,ok,84350.407
Aegis-Boreas,244,35.6,0.1713,ok,66513.328
Aegis-Boreas,245,58.4,0.2809,ok,81987.966
Aegis-Boreas,246,65.1,0.3131,ok,86647.605
Aegis-Boreas,247,53.2,0.2556,ok,77665.751
Aegis-Boreas,248,106.4,0.5116,ok,157273.205
Aegis-Boreas,249,89.1,0.4284,ok,118330.967
Aegis-Boreas,250,162.7,0.7824,ok,565351.806
Aegis-Boreas,251,74.1,0.3564,ok,95694.505
Aegis-Boreas,252,94.9,0.4561,ok,129204.759
Aegis-Boreas,253,142.5,0.6853,ok,330817.685
Aegis-Boreas,254,59.2,0.2844,ok,83036.77
Aegis-Boreas,255,65.1,0.313,ok,85507.684
Aegis-Boreas,256,48.3,0.2321,ok,72162.322
Aegis-Boreas,257,88.5,0.4255,ok,117792.312
Aegis-Boreas,258,43.1,0.2073,ok,69393.041
Aegis-Boreas,259,82.1,0.3949,ok,106550.026
Aegis-Boreas,260,31.3,0.1505,ok,66066.863
Aegis-Boreas,261,131.8,0.6337,ok,257030.877
Aegis-Boreas,262,50.5,0.2429,ok,74680.743
Aegis-Boreas,263,,0.5171,ok,158131.571
Aegis-Boreas,264,121.2,0.5828,ok,207166.671
Aegis-Boreas,265,47.0,0.2261,ok,71291.26
Aegis-Boreas,266,59.0,0.2838,ok,80084.697
Aegis-Boreas,267,37.9,0.1821,ok,67293.018
Aegis-Boreas,268,10.9,0.0524,ok,59662.921
Aegis-Boreas,269,56.1,0.2698,ok,77501.407
Aegis-Boreas,270,60.6,0.2912,ok,79167.22
Aegis-Boreas,271,32.2,0.1548,ok,65629.334
Aegis-Boreas,272,40.0,0.1924,ok,66068.269
Aegis-Boreas,273,61.4,0.295,ok,81192.646
Aegis-Boreas,274,139.5,0.6709,ok,304724.783
Aegis-Boreas,275,126.2,0.6065,ok,230881.655
Aegis-Boreas,276,10.1,0.0487,ok,60692.364
Aegis-Boreas,277,42.4,0.2038,ok,67625.895
Aegis-Boreas,278,41.0,0.1972,ok,69458.819
Aegis-Boreas,279,1.4,0.0067,ok,60409.376
Aegis-Boreas,280,52.6,0.2529,ok,77918.111
Aegis-Boreas,281,49.1,0.2362,ok,75181.374
Aegis-Boreas,282,68.4,0.3289,ok,88501.25
Aegis-Boreas,283,43.9,0.2108,ok,70838.129
Aegis-Boreas,284,72.8,0.3498,ok,93340.352
Aegis-Boreas,285,33.1,0.1589,ok,66223.472
Aegis-Boreas,286,48.2,0.2318,ok,72239.732
Aegis-Boreas,287,8.1,0.039,ok,60099.816
Aegis-Boreas,288,69.2,0.3329,ok,91496.591
Aegis-Boreas,289,22.4,0.1076,ok,62159.802
Aegis-Boreas,290,49.5,0.238,ok,76486.661
Aegis-Boreas,291,61.4,0.2951,ok,84184.321
Aegis-Boreas,292,40.1,0.1926,ok,68425.317
Aegis-Boreas,293,51.6,0.2479,ok,75387.306
Aegis-Boreas,294,21.1,0.1016,ok,61815.683
Aegis-Boreas,295,133.0,0.6393,ok,265641.993
Aegis-Boreas,296,5.5,0.0263,ok,59397.284
Aegis-Boreas,297,23.6,0.1135,ok,61941.229
Aegis-Boreas,298,108.5,0.5218,ok,163597.771
Aegis-Boreas,299,80.6,0.3875,ok,104122.484
Aegis-Boreas,300,55.1,0.265,ok,78883.213
Aegis-Boreas,301,101.9,0.4899,ok,142412.038
Aegis-Boreas,302,6.9,0.0333,ok,60563.736
Aegis-Boreas,303,124.3,0.5975,ok,455081.609
Aegis-Boreas,304,75.8,0.3645,ok,98233.451
Aegis-Boreas,305,10.2,0.0491,ok,60729.947
Aegis-Boreas,306,53.8,0.2586,ok,76695.07
Aegis-Boreas,307,122.2,0.5873,ok,210318.889
Aegis-Boreas,308,73.1,0.3512,ok,93491.921
Aegis-Boreas,309,35.4,0.17,ok,65798.756
Aegis-Boreas,310,23.9,0.1149,ok,61192.171
Aegis-Boreas,311,47.2,0.2271,ok,71320.925
Aegis-Boreas,312,66.1,0.3177,ok,86538.368
Aegis-Boreas,313,64.3,0.3092,ok,84582.052
Aegis-Boreas,314,62.4,0.3001,ok,82392.689
Aegis-Boreas,315,25.0,0.1201,ok,63473.103
Aegis-Boreas,316,34.5,0.1658,ok,65614.02
Aegis-Boreas,317,50.7,0.2438,ok,74932.276
Aegis-Boreas,318,97.4,0.4684,ok,134936.015
Aegis-Boreas,319,28.2,0.1356,ok,64160.672
Aegis-Boreas,320,71.5,0.3438,ok,91485.896
Aegis-Boreas,321,32.5,0.1561,ok,67251.998
Aegis-Boreas,322,58.9,0.2831,ok,81173.425
Aegis-Boreas,323,95.8,0.4608,ok,130863.96
Aegis-Boreas,324,26.1,0.1257,ok,62349.756
Aegis-Boreas,325,116.0,0.5576,ok,185311.868
Aegis-Boreas,326,24.4,0.1172,ok,
Aegis-Boreas,327,60.0,0.2885,ok,83990.109
Aegis-Boreas,328,96.2,0.4625,ok,132373.842
Aegis-Boreas,329,21.5,0.1033,ok,60120.9
